parameter,decade,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
SiTN,2010,DC01.0M,trib,4,0.728128993,0.34815865,69,mol:mol
SiTN,2010,RK03.7M,trib,3,0.339449289,0.14969472,74,mol:mol
SiTN,2010,VM00.1M,trib,1,0.89881916,0.392984914,117,mol:mol
SiTN,2010,HD00.9M,trib,5,2.898502956,1.742893056,86,mol:mol
SiTN,2010,S000.2K,trib,6,0.565345289,0.593303827,90,mol:mol
SiTN,2010,BM00.7S,trib,5,1.249800223,0.541832543,90,mol:mol
SiTN,2010,MK04.4M,trib,6,0.581310395,0.60721534,80,mol:mol
SiTN,2010,WP02.6M,trib,3,0.292719311,0.241255251,79,mol:mol
SiTN,2010,R000.1M,trib,2,0.542397264,0.182271992,110,mol:mol
SiTN,2010,AL02.3M,trib,3,0.509940344,0.34741985,92,mol:mol
SiTN,2010,LM00.5M,trib,6,0.965227774,1.337331433,82,mol:mol
SiTN,2010,SG16.2C,trib,6,0.507081588,0.347964366,63,mol:mol
SiTN,2010,BX00.4M,trib,2,1.177492816,0.265411586,127,mol:mol
SiTN,2010,MQ02.1M,trib,3,0.308245593,0.10198633,75,mol:mol
SiTN,2010,CU11.6M,trib,4,1.053154095,0.467187211,94,mol:mol
SiTN,2010,BK14.2M,trib,2,1.321491721,0.335511619,88,mol:mol
SiTN,2010,BK01.0M,trib,2,1.209043106,0.661085731,122,mol:mol
SiTN,2010,LM07.2M,trib,6,0.840583762,0.742794786,92,mol:mol
SiTN,2010,UI02.9M,trib,2,0.420501216,0.227026631,101,mol:mol
SiTN,2010,CC00.6M,trib,2,1.534910341,0.330860834,129,mol:mol
SiTN,2010,PE01.8M,trib,4,1.550176331,1.495697759,94,mol:mol
SiTN,2010,CN00.1M,trib,1,0.653319941,0.306757988,111,mol:mol
SiTN,2010,CH00.1M,trib,1,1.596710632,0.333328231,124,mol:mol
SiTN,2010,LX00.1M,trib,2,1.055877856,0.352676022,114,mol:mol
SiTN,2010,PI00.2M,trib,4,1.116718535,0.530718796,88,mol:mol
SiTP,2010,RK03.7M,trib,3,108.3013524,53.79932186,99,mol:mol
SiTP,2010,HD00.9M,trib,5,56.3083605,36.46989571,93,mol:mol
SiTP,2010,S000.2K,trib,6,25.57109651,14.68242943,100,mol:mol
SiTP,2010,MK04.4M,trib,6,51.98182339,40.04145333,98,mol:mol
SiTP,2010,WP02.6M,trib,3,22.57707299,21.24496251,99,mol:mol
SiTP,2010,AL02.3M,trib,3,30.98163433,15.04953488,96,mol:mol
SiTP,2010,LM00.5M,trib,6,29.47645817,18.82685827,87,mol:mol
SiTP,2010,SG16.2C,trib,6,8.882247727,4.337418184,74,mol:mol
SiTP,2010,BX00.4M,trib,2,77.84433788,36.67331329,128,mol:mol
SiTP,2010,MQ02.1M,trib,3,28.634317,18.72652187,89,mol:mol
SiTP,2010,RK00.1M,trib,3,44.79195373,34.23877563,96,mol:mol
SiTP,2010,LX00.1M,trib,2,35.51682365,23.49615672,117,mol:mol
SiTP,2010,BK01.0M,trib,2,35.03092187,23.24578975,122,mol:mol
SiTP,2010,LM07.2M,trib,6,29.35541082,22.59787186,95,mol:mol
SiTP,2010,UI02.9M,trib,2,69.27746312,48.27384652,120,mol:mol
SiTP,2010,CC00.6M,trib,2,65.3272562,32.65241332,130,mol:mol
SiTP,2010,PE01.8M,trib,4,26.53526343,15.57924214,95,mol:mol
SiTP,2010,DC01.0M,trib,4,12.61090124,6.802916295,73,mol:mol
SiTP,2010,BM00.7S,trib,5,21.2531303,12.33425713,90,mol:mol
SiTP,2010,R000.1M,trib,2,66.39124653,34.78777336,124,mol:mol
SiTP,2010,BK14.2M,trib,2,31.33495306,18.71182007,88,mol:mol
SiTP,2010,PI00.2M,trib,4,28.99250969,13.84031609,87,mol:mol
SiTP,2010,VM00.1M,trib,1,68.93462528,54.55907467,118,mol:mol
SiTP,2010,CH00.1M,trib,1,59.98390361,24.67176865,125,mol:mol
SiTP,2010,CU11.6M,trib,4,32.13671288,22.38049657,97,mol:mol
SiTP,2010,CN00.1M,trib,1,57.01125473,34.40985694,117,mol:mol
SRP,2010,R000.1M,trib,2,0.02437037,0.040154876,135,mg/L
SRP,2010,RK00.1M,trib,3,0.037373832,0.115243264,107,mg/L
SRP,2010,RK03.7M,trib,3,0.042942857,0.15240696,105,mg/L
SRP,2010,DC01.0M,trib,4,0.259102564,0.26856964,78,mg/L
SRP,2010,VM00.1M,trib,1,0.029532258,0.03613287,124,mg/L
SRP,2010,LX00.1M,trib,2,0.028930233,0.029745847,129,mg/L
