parameter,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
SiDIN,MQ02.1M,trib,3,0.359722344,0.125039309,303,mol:mol
SiDIN,I007.0W,main,4,0.440389061,0.331872814,297,mol:mol
SiDIN,M556.4A,main,3,1.360754683,1.063406008,359,mol:mol
SiDIN,CU11.6M,trib,4,2.793275856,6.043654094,249,mol:mol
SiDIN,RK00.1M,trib,3,0.287291847,0.417431569,269,mol:mol
SiDIN,I157.8D,main,6,0.387473516,0.282506263,317,mol:mol
SiDIN,BK01.0M,trib,2,4.385209949,6.038625826,304,mol:mol
SiDIN,LM07.2M,trib,6,2.133355437,6.395307069,311,mol:mol
SiDIN,UI02.9M,trib,2,0.531422845,0.269747398,256,mol:mol
SiDIN,M078.0B,main,5,1.007749421,0.55812196,324,mol:mol
SiDIN,CC00.6M,trib,2,2.274776069,0.553620093,342,mol:mol
SiDIN,PE01.8M,trib,4,5.151635981,9.563429678,249,mol:mol
SiDIN,I080.2C,main,6,0.441079139,0.304937674,328,mol:mol
SiDIN,M701.1B,main,2,2.129988034,2.257671326,405,mol:mol
SiDIN,DC01.0M,trib,4,1.096262112,0.911747184,262,mol:mol
SiDIN,RK03.7M,trib,3,0.342446274,0.142519887,292,mol:mol
SiDIN,M066.3B,main,5,0.972916902,0.532054486,291,mol:mol
SiDIN,BK14.2M,trib,2,2.876604111,1.282763842,320,mol:mol
SiDIN,LX00.1M,trib,2,2.323831576,1.966991971,352,mol:mol
SiDIN,VM00.1M,trib,1,1.290514731,0.785975928,361,mol:mol
SiDIN,M202.6T,main,4,0.819512183,1.052339766,289,mol:mol
SiDIN,CH00.1M,trib,1,3.450203653,2.203212209,355,mol:mol
SiDIN,PI00.2M,trib,4,1.750618993,1.576915389,312,mol:mol
SiDIN,I080.2M,main,6,0.448138921,0.300864087,306,mol:mol
SiDIN,M764.3A,main,1,1.953733257,1.621129265,362,mol:mol
SiDIN,HD00.9M,trib,5,7.787139425,12.61038411,276,mol:mol
SiDIN,S000.2K,trib,6,0.903001572,2.578471719,351,mol:mol
SiDIN,M066.4C,main,5,0.977583915,0.515554164,317,mol:mol
SiDIN,BM00.7S,trib,5,4.669574434,9.160898979,278,mol:mol
SiDIN,MK04.4M,trib,6,0.721624049,0.856181845,322,mol:mol
SiDIN,WP02.6M,trib,3,0.490588804,1.90921789,308,mol:mol
SiDIN,M241.4K,main,4,0.802556716,0.683566549,331,mol:mol
SiDIN,CN00.1M,trib,1,0.846882396,0.528821101,356,mol:mol
SiDIN,R000.1M,trib,2,0.638015791,0.429540656,349,mol:mol
SiDIN,I121.2W,main,6,0.377422174,0.275963579,362,mol:mol
SiDIN,M786.2C,main,1,1.608238299,0.997351069,365,mol:mol
SiSRP,AL02.3M,trib,3,252.0244692,361.6928641,324,mol:mol
SiSRP,LM00.5M,trib,6,235.1521107,420.8572819,330,mol:mol
SiSRP,SG16.2C,trib,6,59.34756198,79.97499806,367,mol:mol
SiSRP,M070.2A,main,5,86.7514944,55.86519244,342,mol:mol
SiSRP,BX00.4M,trib,2,734.2824544,741.0582682,260,mol:mol
SiSRP,MQ02.1M,trib,3,306.7487854,524.6678146,372,mol:mol
SiSRP,I007.0W,main,4,32.10013629,23.51325224,338,mol:mol
SiSRP,M556.4A,main,3,214.6611047,320.2436809,376,mol:mol
SiSRP,CU11.6M,trib,4,341.2533868,574.3133376,273,mol:mol
SiSRP,RK00.1M,trib,3,391.6162511,355.9513391,290,mol:mol
SiSRP,I157.8D,main,6,23.34185465,19.67293505,350,mol:mol
SiSRP,BK01.0M,trib,2,217.8087828,400.3148446,385,mol:mol
SiSRP,LM07.2M,trib,6,254.9830872,322.0126664,348,mol:mol
SiSRP,UI02.9M,trib,2,562.6153367,714.7704308,274,mol:mol
SiSRP,M078.0B,main,5,89.06209538,57.40605232,371,mol:mol
SiSRP,CC00.6M,trib,2,562.0929383,612.6321829,333,mol:mol
SiSRP,PE01.8M,trib,4,273.1163842,284.5385545,283,mol:mol
SiSRP,I080.2C,main,6,35.23929053,30.34625662,350,mol:mol
SiSRP,M701.1B,main,2,192.823587,239.0960374,445,mol:mol
SiSRP,DC01.0M,trib,4,31.66796104,38.8302721,295,mol:mol
SiSRP,RK03.7M,trib,3,551.6050895,594.8547785,272,mol:mol
SiSRP,M066.3B,main,5,88.0071645,55.78565273,317,mol:mol
SiSRP,BK14.2M,trib,2,135.057774,108.978356,370,mol:mol
SiSRP,LX00.1M,trib,2,289.979034,323.8809788,406,mol:mol
SiSRP,VM00.1M,trib,1,326.7670108,371.4105674,404,mol:mol
SiSRP,M202.6T,main,4,98.37015288,73.71843002,310,mol:mol
SiSRP,CH00.1M,trib,1,240.4402711,212.988038,407,mol:mol
SiSRP,PI00.2M,trib,4,214.0711631,290.4738792,343,mol:mol
SiSRP,I080.2M,main,6,33.32421695,27.06347273,329,mol:mol
SiSRP,M764.3A,main,1,354.2113554,550.5171224,381,mol:mol
SiSRP,HD00.9M,trib,5,335.1583184,367.9557937,347,mol:mol
SiSRP,S000.2K,trib,6,243.6049599,273.7919867,409,mol:mol
SiSRP,M066.4C,main,5,95.95599274,162.456371,367,mol:mol
SiSRP,BM00.7S,trib,5,158.1806268,293.2875731,358,mol:mol
SiSRP,MK04.4M,trib,6,457.1160806,588.3373684,335,mol:mol
SiSRP,WP02.6M,trib,3,284.1354977,334.5604804,312,mol:mol
SiSRP,M241.4K,main,4,126.4157514,227.9914786,364,mol:mol
